kodOrganizacie,nazovOrganizacie,kodNadurovne,kategoria,2015,2016,2017,2018,2019,2020,2021
508331,Vlky,800108,DLH,9321.43,,0.0,35399.57,0.0,152742.02,18873.73
545333,Dunajská Lužná,800108,DLH,,0.0,96816.0,96816.0,96816.0,259502.0,259502.0
555487,Igram,800108,DLH,,,0.0,0.0,139053.3,13892.0,13892.0
555495,Kaplna,800108,DLH,,,0.0,0.0,0.0,134239.57,127239.57
555509,Zálesie,800108,DLH,14588.0,,166000.0,142000.0,364000.35,94000.0,70000.0
582549,Nový Svet,800108,DLH,,,0.0,0.0,0.0,0.0,0.0
582000,Bratislava,800150,DLH,127311500.0,127311500.0,134311501.65,142311500.0,137978166.66,159453705.32,156556371.98
501433,Dunajská Streda,800201,DLH,4630654.13,4299530.33,4636501.34,6825454.22,6346150.93,6373705.9,8147052.62
501441,Báč,800201,DLH,,0.0,0.0,0.0,0.0,293374.37,132544.0
501450,Baka,800201,DLH,258629.62,229903.9,207116.64,194059.59,185060.07,,245897.1
501468,Baloň,800201,DLH,,,0.0,0.0,0.0,12262.0,12262.0
501484,Blahová,800201,DLH,,16.5,0.0,0.0,0.0,0.0,0.0
501492,Blatná na Ostrove,800201,DLH,101169.61,96337.93,91506.25,86674.57,81842.89,105511.21,94679.53
501506,Boheľov,800201,DLH,57725.1,54936.3,50952.3,46968.3,42984.3,58846.32,54862.32
501514,Čakany,800201,DLH,,19383.33,14223.33,9063.33,3903.33,11292.0,11292.0
501522,Veľký Meder,800201,DLH,1229054.39,1181999.05,1296661.77,1511742.13,1435129.1,0.0,1422065.25
501531,Čiližská Radvaň,800201,DLH,,,0.0,0.0,0.0,0.0,0.0
501549,Dobrohošť,800201,DLH,,,0.0,0.0,0.0,0.0,0.0
501557,Dolný Bar,800201,DLH,300576.62,205976.0,174875.34,226788.76,263001.12,385274.05,424924.45
501573,Gabčíkovo,800201,DLH,2503758.86,1088558.12,1103889.79,1158486.24,1164790.93,1373216.13,1350698.55
501581,Holice,800201,DLH,160206.43,390476.17,372671.3,700217.55,594323.73,374614.76,490782.97
501590,Horná Potôň,800201,DLH,234903.73,233959.73,201786.56,198187.79,183853.45,212255.84,292130.41
501603,Horný Bar,800201,DLH,1745.0,,0.0,80000.0,78366.55,80449.15,85380.75
501611,Dolný Štál,800201,DLH,,,0.0,0.0,0.0,0.0,0.0
501620,Hubice,800201,DLH,,,,0.0,0.0,,0.0
501638,Hviezdoslavov,800201,DLH,,,0.0,0.0,0.0,,0.0
501654,Jahodná,800201,DLH,242045.36,224855.24,194029.43,156541.03,155016.52,409851.67,491967.89
501662,Janíky,800201,DLH,,,36669.1,27609.1,18549.1,,429.1
501671,Jurová,800201,DLH,,,0.0,0.0,0.0,7999.0,7999.0
501689,Kľúčovec,800201,DLH,,,0.0,0.0,0.0,5923.0,5923.0
501697,Kostolné Kračany,800201,DLH,224877.06,285745.43,260225.96,234706.49,199187.02,173667.55,262148.08
501701,Kráľovičove Kračany,800201,DLH,0.0,113320.2,96922.2,83866.2,70810.2,77205.2,160885.2
501719,Kútniky,800201,DLH,370389.02,335687.34,299951.08,264202.43,228190.79,223029.51,202929.51
501727,Kvetoslavov,800201,DLH,124620.31,116702.41,122948.28,103001.52,89580.31,80820.31,101927.31
501735,Lehnice,800201,DLH,688471.35,635007.44,580963.24,649930.72,706269.67,823026.47,1268958.03
501743,Lúč na Ostrove,800201,DLH,51812.11,44312.11,71812.11,54316.11,85514.17,74447.17,153857.91
501760,Medveďov,800201,DLH,,11235.0,0.0,0.0,0.0,8975.0,8975.0
501778,Mierovo,800201,DLH,2024.21,1779.48,1779.48,0.0,0.0,0.0,9127.0
501786,Michal na Ostrove,800201,DLH,47120.5,44409.31,41612.51,38733.33,37316.92,91737.7,126420.33
